eigval1	eigval2	eigval3
393.36958208443383	189.6404986372377	151.05952530841768
440.59107810488126	187.81570441638544	136.03166435122162
390.46758934302306	194.44912892399788	120.9179646070215
348.3434970210491	146.50321954998202	-98.9455758275006
322.22532659589626	150.7614417745245	-108.38593490697328
342.9162794150133	124.4146652178882	109.65820692826632
324.3190266230249	163.63968119894295	-105.63289280631636
284.3145247200519	130.57961521517396	-94.27177501828606
213.76517285414036	116.0134836691943	-103.99277456941013
266.03458429821217	122.28031412226723	92.61614120954833
274.49503652213605	124.0998486978334	-114.6662699781768
278.8422013029268	117.88127793609087	-100.6060757767409
231.0931351827292	-69.46892723540338	56.442697932482375
221.68279021362414	81.03883929205199	-71.60543503176086
186.27318987395984	89.77590353061308	-58.4008012304334
175.601187461637	71.07005854042569	66.77108622744
166.8481075370937	79.18659355789185	58.81793454331411
182.4069226593056	-58.156746766555045	51.973051636787
128.64224137710428	60.7385969300287	48.916759209885065
145.4438284187763	66.61449225584997	-53.58179911768442
93.1340134481101	37.413880545871265	-29.88451316916757
81.62570119683538	44.08732501788927	-25.135438121760696
271.7420607490504	113.88037087387221	-107.05086610790983
28.93399783885016	-19.885208287948032	-15.631958746746115
		
