eigval1	eigval2	eigval3
279.45288687334056	143.5528774151646	-141.68541180533234
252.87719612018944	124.20610722473995	-96.21232524072539
223.92338302629165	-117.08930034739149	112.60861389874131
134.42632630964405	74.94130272970956	-65.23361217027352
160.6647184537375	83.3352471617668	-64.32059814421261
164.63703515388312	-106.4243248194087	93.7292892506169
196.37049644499248	92.28127191711941	65.95859474518626
127.21362092261833	65.143858276402	-58.30482072652561
138.21257333816402	68.58495665566804	-68.50687756256323
129.80991845415517	67.61215397967445	-48.969042681317106
166.77853363172795	91.87586069862374	-90.6207880903688
159.98739525690863	-78.1303355399795	63.13201863467317
106.9457950244558	-69.2158834400423	51.287818557715944
101.252668698535	43.45745767676404	-42.25757642631609
74.85845129031271	48.713483209365876	-40.29100617894988
91.80039227078252	-36.82416105106919	36.50663275929723
108.8520920150219	-47.37470851918468	46.38261083235585
84.52308006530701	-42.0876284925283	39.10846347144632
89.56582821314865	47.52160127277927	-34.65334280413277
64.9905104715717	-47.05190667592098	41.74753935065349
44.293191230553205	-38.97256572947548	19.78595884592678
27.982294492730986	22.497941146831014	-21.66235716671123
182.94571397465367	106.58582527419317	-89.75055431719183
56.48846618603405	-29.63157798029237	-20.881555730504274
		
